id,video_id,author,content,date,status
c001,v001,影片愛好者,好精彩嘅分享！學到好多工業自動化嘅新知識，期待更多類似內容！,2026-02-20,approved
c002,v001,科技達人,工業4.0真係未來大趨勢，多謝整理咁詳細嘅資訊,2026-03-01,approved
c003,v009,漫畫迷,角色設計流程好清晰！想問下用咩軟件畫㗎？,2026-02-10,approved
c004,v009,插畫師阿強,教學好有用，比個like你！,2026-02-15,approved
c005,v016,奶茶控,正宗港式奶茶真係無得輸！跟住試下先,2026-03-05,approved
c006,v015,烘焙新手,第一次試就跟住做，成功咗！多謝分享,2026-02-25,approved
c007,v021,美容達人,呢個妝容好適合日常返工，簡單又靚,2026-03-10,approved
c008,v013,舞蹈愛好者,街舞真係好型！比賽水平好高,2026-03-15,approved
c009,v024,全職媽媽,蒙特梭利教學好實用，小朋友好鍾意玩,2026-03-20,approved
c010,v018,準新娘,夢想中嘅婚禮就係咁！已收藏參考,2026-02-28,approved
cm_851ccd13,v001,Test,Test comment,2026-07-22,approved
