id,subcategory_id,category_id,platform,platform_id,title_zh,title_en,description_zh,description_en,thumbnail_url,aspect_ratio,tags,status,track,direction,submitted_date
v001,s007,cat001,youtube,HWMga1ULQEU,香港終極街頭美食之旅：19餐食盡全港,Best Hong Kong Street Food 19 Meals Ultimate Food Tour,香港終極街頭美食之旅：19餐食盡全港,Best Hong Kong Street Food 19 Meals Ultimate Food Tour,https://img.youtube.com/vi/HWMga1ULQEU/hqdefault.jpg,16:9,香港 YouTube 美食,approved,learning,learning,2026-07-24
v002,s001,cat001,youtube,dVOSHb37clA, VS  香港點心大比拼：終極點心之旅, VS  Hong Kong Ultimate Dim Sum Tour, VS  香港點心大比拼：終極點心之旅, VS  Hong Kong Ultimate Dim Sum Tour,https://img.youtube.com/vi/dVOSHb37clA/hqdefault.jpg,16:9,香港 YouTube,approved,learning,learning,2026-07-23
v003,s005,cat001,youtube,0DR7t2dy_UU,香港鏞記燒鵝：百年歷史的極致美味,Hong Kong Yung Kee Roast Goose Century Old Flavour,香港鏞記燒鵝：百年歷史的極致美味,Hong Kong Yung Kee Roast Goose Century Old Flavour,https://img.youtube.com/vi/0DR7t2dy_UU/hqdefault.jpg,16:9,香港 YouTube,approved,learning,learning,2026-07-22
v004,s006,cat001,youtube,wW3IxfFXfoQ,港式絲襪奶茶為何如此獨特：城市美食系列,Why Hong Kong Milk Tea Tastes So Unique City Bites,港式絲襪奶茶為何如此獨特：城市美食系列,Why Hong Kong Milk Tea Tastes So Unique City Bites,https://img.youtube.com/vi/wW3IxfFXfoQ/hqdefault.jpg,16:9,香港 YouTube 美食,approved,learning,learning,2026-07-21
v005,s003,cat001,youtube,228SQpmwqsM,港式甜品教學：曲奇蛋撻製作全攻略,Hong Kong Dessert Cookie Egg Tart Complete Tutorial,港式甜品教學：曲奇蛋撻製作全攻略,Hong Kong Dessert Cookie Egg Tart Complete Tutorial,https://img.youtube.com/vi/228SQpmwqsM/hqdefault.jpg,16:9,香港 YouTube,approved,learning,learning,2026-07-20
v006,s009,cat002,youtube,9eHlPpOXeGY,香港行山攻略：十大最美路線推薦,Hong Kong Hiking Top 10 Trails with Stunning Views,香港行山攻略：十大最美路線推薦,Hong Kong Hiking Top 10 Trails with Stunning Views,https://img.youtube.com/vi/9eHlPpOXeGY/hqdefault.jpg,16:9,香港 YouTube 行山,approved,learning,learning,2026-07-19
v007,s010,cat002,youtube,iNLsySQq0cI,香港最爆紅廟街夜市內部直擊,Inside Hong Kong Most Viral Temple Street Night Market,香港最爆紅廟街夜市內部直擊,Inside Hong Kong Most Viral Temple Street Night Market,https://img.youtube.com/vi/iNLsySQq0cI/hqdefault.jpg,16:9,香港 YouTube,approved,fun,fun,2026-07-18
v008,s014,cat002,youtube,-T-ZpByNvGs,香港維港2026：終極LED煙花激光匯演 4K,Hong Kong Victoria Harbour 2026 Ultimate LED Fireworks 4K,香港維港2026：終極LED煙花激光匯演 4K,Hong Kong Victoria Harbour 2026 Ultimate LED Fireworks 4K,https://img.youtube.com/vi/-T-ZpByNvGs/hqdefault.jpg,16:9,香港 YouTube,approved,learning,learning,2026-07-17
v009,s015,cat003,youtube,_tvKLm2YCEU,香港4天旅遊攻略：2026首次訪港必看指南,4 Days in Hong Kong 2026 Travel Guide for First Time Visitors,香港4天旅遊攻略：2026首次訪港必看指南,4 Days in Hong Kong 2026 Travel Guide for First Time Visitors,https://img.youtube.com/vi/_tvKLm2YCEU/hqdefault.jpg,16:9,香港 YouTube,approved,fun,fun,2026-07-16
v010,s017,cat003,youtube,_tnh6xy4OW0,香港文化趣聞：關於香港的有趣事實,Hong Kong Culture Fun Facts About Hong Kong Travel,香港文化趣聞：關於香港的有趣事實,Hong Kong Culture Fun Facts About Hong Kong Travel,https://img.youtube.com/vi/_tnh6xy4OW0/hqdefault.jpg,16:9,香港 YouTube,approved,fun,fun,2026-07-15
v011,s019,cat003,youtube,dNb2abqmK2s,香港香格里拉婚禮紀錄片,Hong Kong Wedding Documentary at Shangri La,香港香格里拉婚禮紀錄片,Hong Kong Wedding Documentary at Shangri La,https://img.youtube.com/vi/dNb2abqmK2s/hqdefault.jpg,16:9,香港 YouTube 婚禮,approved,fun,fun,2026-07-14
v012,s023,cat004,youtube,mJixyUO18Nk,香港街頭時尚：2025最新穿搭趨勢,Hong Kong Street Fashion Trends 2025 What People Are Wearing,香港街頭時尚：2025最新穿搭趨勢,Hong Kong Street Fashion Trends 2025 What People Are Wearing,https://img.youtube.com/vi/mJixyUO18Nk/hqdefault.jpg,16:9,香港 YouTube,approved,fun,fun,2026-07-13
v013,s024,cat004,youtube,0DS21Bmx0qk,香港咖啡店一週巡禮：本地精品咖啡探索,Hong Kong Coffee Shops in a Week Local Specialty Coffee,香港咖啡店一週巡禮：本地精品咖啡探索,Hong Kong Coffee Shops in a Week Local Specialty Coffee,https://img.youtube.com/vi/0DS21Bmx0qk/hqdefault.jpg,16:9,香港 YouTube 咖啡,approved,fun,fun,2026-07-12
