video_id,count,clicks
v001,1,0
v005,1,0
v004,2,0
v012,1,0
v015,1,0
v010,2,0
v014,1,0
v013,1,0
v029,2,0
v026,3,0
v002,3,0
v003,1,0
v007,1,0
cv_97,3,0
v023,1,0
cv_4338,3,0
cv_5049,2,0
cv_5962,2,0
cv_40,1,0
cv_2988,2,0
cv_1295,2,0
cv_2179,2,0
cv_12273,2,0
cv_6838,2,0
cv_7178,1,0
cv_909,2,0
cv_19,2,0
cv_8934,1,0
cv_4371,2,0
cv_7263,2,0
cv_12270,1,0
cv_8854,1,0
cv_7177,1,0
cv_7891,1,0
cv_3684,1,0
cv_6785,1,0
cv_4019,2,0
cv_8984,1,0
cv_12180,2,0
cv_4800,2,0
cv_10797,2,0
cv_7921,1,0
cv_8933,1,0
cv_9568,1,0
cv_8997,1,0
cv_7907,1,0
cv_9072,1,0
cv_9019,1,0
cv_5610,2,0
cv_9051,2,0
cv_6827,2,0
cv_12204,2,0
cv_6864,3,0
cv_8980,1,0
cv_5674,2,0
cv_5672,2,0
cv_12278,1,0
cv_4360,2,0
cv_105,1,0
cv_10753,1,0
cv_1633,2,0
cv_3714,2,0
cv_12283,1,0
cv_8978,1,0
cv_1260,2,0
cv_9060,2,0
cv_817,3,0
v028,1,0
v056,1,0
cv_1533,2,0
cv_12207,1,0
v062,1,0
cv_815,1,0
v045,1,0
cv_10798,2,0
v043,1,0
cv_12287,2,0
cv_10768,2,0
cv_11187,1,0
cv_1187,2,0
cv_4292,1,0
cv_1189,1,0
cv_1210,2,0
cv_12501,2,0
cv_25,2,0
cv_12502,2,0
cv_12517,1,0
cv_12518,1,0
cv_12519,1,0
cv_12520,1,0
cv_12521,1,0
cv_12522,1,0
cv_12523,1,0
cv_12524,1,0
cv_12525,1,0
cv_12527,1,0
cv_12528,1,0
v050,1,0
cv_12529,1,0
cv_1706,2,0
cv_12530,1,0
cv_3864,2,0
cv_298,1,0
cv_12531,2,0
cv_9383,1,0
v021,1,0
cv_12532,1,0
cv_12533,1,0
cv_11713,1,0
cv_1258,1,0
cv_1259,2,0
